City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
186,Coquimbo,CL,-29.9533,-71.3436,60.53,88,0,3.44,clear sky
187,Muisne,EC,0.6,-80.0333,73.96,91,97,2.26,light rain
188,Opuwo,NA,-18.0607,13.84,66.69,43,25,4.99,scattered clouds
189,Qasigiannguit,GL,68.8193,-51.1922,23.25,69,91,19.17,overcast clouds
190,Changji,CN,44.0167,87.3167,3.99,78,40,4.47,mist
191,Obo,CF,5.3998,26.4869,73.06,19,19,10.0,few clouds
192,Carnarvon,AU,-24.8667,113.6333,86.07,58,1,18.41,clear sky
193,Lujan,AR,-34.5703,-59.105,70.99,79,0,6.42,clear sky
194,Totskoye,RU,52.5248,52.7623,4.37,96,82,2.55,broken clouds
195,Alta Floresta,BR,-9.8756,-56.0861,69.78,99,100,3.02,overcast clouds
196,Faanui,PF,-16.4833,-151.75,81.3,74,10,14.79,light rain
197,Hasaki,JP,35.7333,140.8333,48.6,58,100,7.25,overcast clouds
198,Rapid Valley,US,44.0625,-103.1463,47.62,32,0,3.0,clear sky
199,Khor,RU,47.8861,134.9464,-3.32,90,100,6.96,overcast clouds
200,Airai,TL,-8.9266,125.4092,72.77,61,100,5.55,overcast clouds
201,Cabo San Lucas,MX,22.8909,-109.9124,69.51,59,7,4.83,clear sky
202,Savonlinna,FI,61.8699,28.88,19.45,93,100,5.75,overcast clouds
203,Lintangan,PH,7.2155,121.952,89.58,74,55,4.65,broken clouds
204,Husavik,IS,66.0449,-17.3389,28.31,87,100,23.89,snow
205,Nanortalik,GL,60.1432,-45.2371,26.4,91,100,16.87,snow
206,Tiksi,RU,71.6872,128.8694,-10.08,100,32,6.24,scattered clouds
207,Inuvik,CA,68.3499,-133.7218,-13.79,76,0,3.44,clear sky
208,Imeni Poliny Osipenko,RU,52.4201,136.4853,-5.71,84,28,1.07,scattered clouds
209,Tarakan,ID,3.3,117.6333,85.5,66,40,5.75,scattered clouds
210,Mahebourg,MU,-20.4081,57.7,85.24,79,75,3.44,broken clouds
211,Port Elizabeth,ZA,-33.918,25.5701,68.09,82,40,8.05,scattered clouds
212,Cravo Norte,CO,6.3017,-70.2041,77.81,42,66,6.62,broken clouds
213,Rognan,NO,67.0953,15.3878,32.14,76,100,11.07,light snow
214,Saint-Pierre,RE,-21.3393,55.4781,83.84,69,20,11.5,few clouds
215,Port Lincoln,AU,-34.7333,135.8667,72.72,66,55,17.74,broken clouds
216,Flin Flon,CA,54.7682,-101.865,3.27,97,100,3.69,overcast clouds
217,Ipixuna,BR,-1.7625,-48.8043,73.35,97,100,2.55,light rain
218,Mezen,RU,65.8522,44.24,11.1,95,99,7.09,overcast clouds
219,Dunedin,NZ,-45.8742,170.5036,67.8,60,100,1.01,overcast clouds
220,Ixtapa,MX,20.7,-105.2,68.23,88,20,0.0,few clouds
221,Umm Lajj,SA,25.0213,37.2685,62.6,42,0,8.93,clear sky
222,Baherden,TM,38.4362,57.4316,42.57,65,21,11.16,few clouds
223,Coxim,BR,-18.5067,-54.76,73.47,91,100,0.76,overcast clouds
224,Bahia De Caraquez,EC,-0.6,-80.4167,75.38,90,100,2.89,light rain
225,Port Blair,IN,11.6667,92.75,84.24,74,40,11.5,scattered clouds
226,Souillac,MU,-20.5167,57.5167,85.35,79,75,3.44,broken clouds
227,Harper,LR,4.375,-7.7169,77.67,83,59,2.51,broken clouds
228,Antofagasta,CL,-23.65,-70.4,65.48,80,54,3.27,broken clouds
229,Talnakh,RU,69.4865,88.3972,-0.8,95,100,10.07,overcast clouds
230,Carbonia,IT,39.1672,8.5222,43.99,83,35,2.93,scattered clouds
